task,mode,beta,final_test_acc,final_test_f1
ag_news,transfer,0.0,0.9492105263157895,0.9490872135878672
tweet_eval,mtl,0.6,0.5548821548821549,0.5257587565181387
tweet_eval,transfer,0.0,0.5292929292929293,0.4940364922125152
tweet_eval,baseline,0.0,0.560942760942761,0.5392809371789559
ag_news,baseline,0.0,0.9492105263157895,0.9490937500274448
ag_news,mtl,0.6,0.9525,0.9526143192539555
debate,baseline,0.0,0.769195189639223,0.7691947452363863
rte,mtl,0.8,0.8122743682310469,0.8113869683637125
rte,transfer,0.0,0.776173285198556,0.7733343891880478
rte,baseline,0.0,0.7725631768953068,0.7690841967369298
hate_it,baseline,0.0,0.9959349593495935,0.9951619141687735
hate_it,transfer,0.0,0.997289972899729,0.9967704385726914
hate_it,mtl,0.0,0.9986449864498645,0.9983831213644878
haspeede,baseline,0.0,0.8084795321637427,0.7997259765716674
haspeede,transfer,0.0,0.7865497076023392,0.7795360419628585
haspeede,mtl,0.2,0.8070175438596491,0.8002389486260454
hatebr,transfer,0.0,0.9185714285714286,0.9185699329171353
hatebr,baseline,0.0,0.9257142857142857,0.9257136792953412
italic,baseline,0.0,0.28143913920645597,0.3066051053979849
italic,transfer,0.0,0.28379287155346333,0.30770226719656907
italic,baseline,0.0,0.3734259661311333,0.47299560003568447
italic,transfer,0.0,0.37038645245332175,0.4683825365923074
folhasp,baseline,0.0,0.9260323608421316,0.895647731616633
hatebr,mtl,1.0,0.9285714285714286,0.9285708454762895
folhasp,transfer,0.0,0.9217217467358031,0.8907496995106923
nli_multi,transfer,0.0,0.7311428571428571,0.7255889751398179
nli_multi,transfer,0.0,0.7160952380952381,0.7110294400784406
nli_multi,baseline,0.0,0.7126666666666667,0.7070482476089571
nli_multi,baseline,0.0,0.7302857142857143,0.7244572975302322
paraphrase,baseline,0.0,0.8063814358230602,0.8056603425024478
paraphrase,transfer,0.0,0.8107324147933285,0.8105730350029289
paraphrase,transfer,0.0,0.8013052936910805,0.8013043533133646
paraphrase,baseline,0.0,0.7882523567802756,0.7875900980739691
paraphrase,mtl,0.2,0.7991298042059464,0.7989433000136326
paraphrase,mtl,0.4,0.8223350253807107,0.8223350253807107
paraphrase,mtl,0.6,0.8716461203770849,0.8716461203770849
paraphrase,baseline,0.0,0.864394488759971,0.8643762310105528
paraphrase,transfer,0.0,0.8629441624365483,0.8629430092683888
italic,baseline,0.0,0.9062092922275293,0.897735237534464
italic,transfer,0.0,0.9014329135909683,0.88890479529077
italic,mtl,0.2,0.9148936170212766,0.9031397391518323
nli_multi,mtl,0.2,0.7108571428571429,0.7066662712259469
nli_multi,mtl,0.6,0.7353333333333333,0.7309023348672968
folhasp,mtl,0.2,0.9232210907727869,0.8938520357329838
nli_multi,baseline,0.0,0.804952380952381,0.8026705415022152
nli_multi,mtl,0.6,0.8028571428571428,0.7999156493490706
nli_multi,transfer,0.0,0.8028571428571428,0.799092277831346
